"FRAUDFOUND","WEEKOFMONTH","DAYOFWEEK","MAKE","ACCIDENTAREA","DAYOFWEEKCLAIMED","MONTHCLAIMED","WEEKOFMONTHCLAIMED","SEX","MARITALSTATUS","FAULT","VEHICLECATEGORY","VEHICLEPRICE","POLICYNUMBER","REPNUMBER","DEDUCTIBLE","DRIVERRATING","DAYS:POLICY-ACCIDENT","DAYS:POLICY-CLAIM","PASTNUMBEROFCLAIMS","AGEOFVEHICLE","AGEOFPOLICYHOLDER","POLICEREPORTFILED","WITNESSPRESENT","AGENTTYPE","NUMBEROFSUPPLIMENTS","ADDRESSCHANGE-CLAIM","NUMBEROFCARS","BASEPOLICY"
"No",1,"Tuesday","Mazda","Urban","Tuesday","Apr",1,"Male","Married","ThirdParty","Sport","more than 69_000",3327,13,400,3,"morethan30","morethan30","2to4","morethan7","51to65","No","No","External","morethan5","nochange","1vehicle","Liability"
"No",3,"Tuesday","Mazda","Urban","Tuesday","Jun",3,"Male","Married","PolicyHolder","Sport","20_000 to 29_000",3328,12,400,1,"morethan30","morethan30","morethan4","7years","51to65","No","No","External","3to5","nochange","1vehicle","Liability"
"Yes",1,"Wednesday","Honda","Urban","Friday","May",2,"Male","Single","PolicyHolder","Sport","more than 69_000",3335,6,400,2,"morethan30","morethan30","none","3years","21to25","No","No","External","none","nochange","1vehicle","Collision"
"No",5,"Friday","Honda","Urban","Tuesday","Jun",2,"Male","Single","PolicyHolder","Sedan","20_000 to 29_000",3336,4,400,4,"morethan30","morethan30","morethan4","7years","31to35","No","No","External","none","nochange","1vehicle","AllPerils"
"No",2,"Friday","Chevrolet","Rural","Tuesday","Jan",3,"Male","Married","ThirdParty","Sedan","30_000 to 39_000",3338,12,400,1,"morethan30","morethan30","1","morethan7","over65","No","No","External","morethan5","nochange","1vehicle","AllPerils"
"No",1,"Friday","Honda","Urban","Thursday","Nov",2,"Female","Married","ThirdParty","Sport","more than 69_000",3341,7,400,2,"morethan30","morethan30","none","6years","31to35","No","No","External","none","nochange","1vehicle","Collision"
"No",3,"Friday","Toyota","Urban","Tuesday","Oct",3,"Male","Married","PolicyHolder","Sport","20_000 to 29_000",3342,7,400,3,"morethan30","morethan30","2to4","7years","31to35","No","No","External","3to5","nochange","1vehicle","Liability"
"No",2,"Thursday","Mazda","Urban","Friday","Sep",2,"Male","Single","PolicyHolder","Sedan","20_000 to 29_000",3344,1,400,3,"morethan30","morethan30","1","6years","31to35","No","No","External","none","nochange","1vehicle","AllPerils"
"No",3,"Wednesday","Chevrolet","Urban","Friday","Oct",3,"Female","Single","PolicyHolder","Sedan","20_000 to 29_000",3361,5,400,4,"morethan30","morethan30","none","6years","31to35","No","No","External","1to2","4to8years","2vehicles","Collision"
"No",1,"Thursday","Mazda","Urban","Monday","Jun",1,"Male","Married","ThirdParty","Sedan","20_000 to 29_000",3387,16,400,2,"morethan30","morethan30","none","6years","41to50","Yes","No","External","none","nochange","1vehicle","AllPerils"
"No",1,"Wednesday","Pontiac","Rural","Wednesday","Feb",1,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",3398,15,400,1,"morethan30","morethan30","1","morethan7","51to65","No","No","External","none","nochange","1vehicle","Collision"
"No",1,"Monday","Pontiac","Urban","Tuesday","Jun",1,"Female","Married","ThirdParty","Sedan","20_000 to 29_000",3401,9,400,4,"morethan30","morethan30","1","7years","36to40","No","No","External","none","nochange","1vehicle","Collision"
"No",1,"Tuesday","Toyota","Urban","Tuesday","Aug",1,"Male","Married","PolicyHolder","Sport","20_000 to 29_000",3403,14,400,2,"morethan30","morethan30","1","7years","41to50","No","No","External","morethan5","4to8years","2vehicles","Liability"
"Yes",1,"Friday","Pontiac","Urban","Friday","May",1,"Male","Single","PolicyHolder","Sedan","less than 20_000",3407,5,400,1,"morethan30","morethan30","none","7years","36to40","No","No","External","1to2","nochange","1vehicle","Collision"
"Yes",1,"Friday","Toyota","Urban","Thursday","Jun",2,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",3408,11,400,1,"morethan30","morethan30","none","7years","41to50","No","No","External","none","nochange","1vehicle","Collision"
"No",3,"Wednesday","Toyota","Urban","Monday","Nov",1,"Male","Married","PolicyHolder","Sedan","30_000 to 39_000",3411,10,700,4,"morethan30","morethan30","none","7years","36to40","No","No","External","none","nochange","1vehicle","AllPerils"
"Yes",1,"Friday","Pontiac","Urban","Monday","May",3,"Male","Single","PolicyHolder","Sedan","20_000 to 29_000",3422,2,400,2,"morethan30","morethan30","1","5years","31to35","No","No","External","none","nochange","1vehicle","AllPerils"
"Yes",1,"Friday","Honda","Urban","Wednesday","May",2,"Male","Divorced","PolicyHolder","Sedan","30_000 to 39_000",3423,14,400,1,"morethan30","morethan30","2to4","6years","31to35","No","No","External","none","nochange","1vehicle","AllPerils"
"No",5,"Tuesday","Mazda","Urban","Friday","Feb",1,"Female","Single","PolicyHolder","Sport","20_000 to 29_000",3428,5,400,3,"morethan30","morethan30","2to4","6years","31to35","No","No","External","3to5","nochange","1vehicle","Liability"
"No",4,"Tuesday","Chevrolet","Urban","Friday","Feb",1,"Male","Married","PolicyHolder","Utility","more than 69_000",3433,3,400,2,"morethan30","morethan30","morethan4","6years","36to40","No","No","External","3to5","nochange","1vehicle","AllPerils"
"No",5,"Thursday","Toyota","Urban","Monday","Jan",1,"Male","Single","PolicyHolder","Sedan","less than 20_000",3443,7,400,4,"morethan30","morethan30","none","7years","36to40","No","No","External","1to2","nochange","1vehicle","Collision"
"Yes",2,"Saturday","Mazda","Urban","Monday","May",2,"Male","Single","PolicyHolder","Sedan","20_000 to 29_000",3444,13,400,3,"morethan30","morethan30","none","7years","31to35","No","No","External","morethan5","nochange","1vehicle","Collision"
"Yes",2,"Sunday","Mazda","Rural","Tuesday","May",4,"Male","Single","PolicyHolder","Sedan","20_000 to 29_000",3457,4,400,1,"morethan30","morethan30","1","7years","31to35","No","No","External","none","nochange","1vehicle","Collision"
"Yes",2,"Sunday","Mazda","Urban","Monday","May",2,"Male","Single","PolicyHolder","Sedan","30_000 to 39_000",3461,10,400,1,"morethan30","morethan30","1","5years","26to30","No","No","External","none","nochange","1vehicle","Collision"
"Yes",2,"Sunday","Mazda","Urban","Friday","May",2,"Male","Married","PolicyHolder","Sedan","30_000 to 39_000",3463,9,400,4,"morethan30","morethan30","2to4","7years","31to35","No","No","External","none","nochange","1vehicle","AllPerils"
"No",3,"Monday","Pontiac","Urban","Monday","Feb",3,"Male","Married","PolicyHolder","Sedan","less than 20_000",3473,15,700,3,"morethan30","morethan30","none","7years","36to40","No","No","External","3to5","nochange","1vehicle","AllPerils"
"Yes",2,"Monday","Honda","Urban","Monday","May",3,"Male","Married","PolicyHolder","Sedan","less than 20_000",3493,16,400,3,"morethan30","morethan30","none","morethan7","41to50","No","No","External","none","nochange","1vehicle","AllPerils"
"No",4,"Saturday","Ford","Urban","Thursday","Jun",3,"Male","Married","ThirdParty","Sedan","30_000 to 39_000",3500,16,400,2,"morethan30","morethan30","2to4","morethan7","51to65","No","No","External","1to2","nochange","1vehicle","AllPerils"
"Yes",2,"Monday","Accura","Rural","Wednesday","May",2,"Male","Married","PolicyHolder","Sedan","more than 69_000",3502,2,400,4,"morethan30","morethan30","2to4","7years","31to35","No","No","External","none","nochange","1vehicle","AllPerils"
"No",2,"Monday","Pontiac","Rural","Tuesday","Aug",2,"Male","Married","ThirdParty","Sedan","less than 20_000",3512,16,400,1,"morethan30","morethan30","2to4","3years","31to35","No","No","External","morethan5","nochange","1vehicle","AllPerils"
"Yes",3,"Friday","Mazda","Urban","Wednesday","May",4,"Male","Married","ThirdParty","Sport","more than 69_000",3520,11,500,4,"morethan30","morethan30","none","7years","31to35","No","No","External","3to5","2to3years","1vehicle","Collision"
"No",2,"Monday","Honda","Urban","Tuesday","Jun",3,"Male","Married","ThirdParty","Sport","more than 69_000",3525,3,400,2,"morethan30","morethan30","none","morethan7","41to50","No","No","External","none","nochange","1vehicle","Collision"
"Yes",2,"Tuesday","Pontiac","Urban","Friday","Jun",3,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",3550,16,400,1,"morethan30","morethan30","2to4","7years","36to40","No","No","External","none","1year","2vehicles","AllPerils"
"Yes",2,"Tuesday","Toyota","Urban","Tuesday","May",3,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",3556,5,400,1,"morethan30","morethan30","none","7years","41to50","No","No","External","1to2","nochange","1vehicle","AllPerils"
"Yes",2,"Tuesday","Toyota","Rural","Monday","May",3,"Female","Single","PolicyHolder","Sedan","less than 20_000",3557,15,400,2,"morethan30","morethan30","2to4","7years","36to40","No","No","External","3to5","nochange","1vehicle","AllPerils"
"No",2,"Saturday","Mazda","Urban","Thursday","Jan",2,"Male","Married","ThirdParty","Sport","30_000 to 39_000",3563,15,400,3,"morethan30","morethan30","none","7years","over65","No","No","External","morethan5","nochange","1vehicle","Liability"
"Yes",2,"Wednesday","Accura","Rural","Wednesday","May",3,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",3570,12,400,2,"morethan30","morethan30","none","5years","over65","No","No","External","morethan5","nochange","1vehicle","AllPerils"
"Yes",2,"Wednesday","Mazda","Urban","Thursday","May",2,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",3580,5,400,1,"morethan30","morethan30","1","7years","36to40","No","No","External","1to2","nochange","1vehicle","AllPerils"
"No",1,"Thursday","Chevrolet","Urban","Thursday","May",1,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",3581,15,400,1,"morethan30","morethan30","none","morethan7","51to65","No","No","External","none","nochange","1vehicle","Collision"
"Yes",2,"Wednesday","Accura","Urban","Monday","May",3,"Male","Married","PolicyHolder","Utility","more than 69_000",3586,7,400,1,"morethan30","morethan30","none","morethan7","51to65","No","No","External","3to5","nochange","1vehicle","AllPerils"
"No",2,"Friday","Honda","Urban","Friday","Jun",4,"Male","Single","PolicyHolder","Sedan","more than 69_000",3588,8,400,3,"morethan30","morethan30","1","new","16to17","No","No","External","none","nochange","1vehicle","AllPerils"
"Yes",2,"Thursday","Pontiac","Rural","Tuesday","Jun",3,"Male","Single","PolicyHolder","Sedan","20_000 to 29_000",3589,16,400,4,"morethan30","morethan30","none","6years","31to35","No","No","External","3to5","nochange","1vehicle","AllPerils"
"No",3,"Friday","Honda","Urban","Friday","Feb",3,"Male","Married","PolicyHolder","Sport","more than 69_000",3598,14,400,3,"morethan30","morethan30","morethan4","6years","36to40","No","No","External","none","nochange","1vehicle","Liability"
"Yes",2,"Thursday","Toyota","Urban","Tuesday","May",4,"Male","Married","PolicyHolder","Sedan","less than 20_000",3599,12,400,3,"none","15to30","2to4","6years","36to40","No","No","External","1to2","nochange","1vehicle","AllPerils"
"Yes",2,"Friday","Pontiac","Urban","Friday","May",2,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",3614,5,400,1,"morethan30","morethan30","none","7years","41to50","No","No","External","3to5","nochange","1vehicle","AllPerils"
"No",2,"Wednesday","Saab","Rural","Thursday","Jan",2,"Female","Married","PolicyHolder","Sedan","30_000 to 39_000",3632,10,400,3,"morethan30","morethan30","none","7years","36to40","No","No","External","3to5","nochange","1vehicle","Collision"
"No",2,"Thursday","Honda","Urban","Thursday","Jan",2,"Female","Single","PolicyHolder","Sport","20_000 to 29_000",3641,11,400,3,"morethan30","morethan30","1","6years","31to35","No","No","External","none","1year","1vehicle","Liability"
"No",5,"Friday","Honda","Urban","Monday","Jan",1,"Male","Married","PolicyHolder","Sport","more than 69_000",3644,5,400,2,"morethan30","morethan30","1","morethan7","41to50","No","No","External","none","nochange","1vehicle","Collision"
"Yes",3,"Saturday","Pontiac","Rural","Wednesday","May",3,"Male","Single","PolicyHolder","Sedan","30_000 to 39_000",3650,1,400,1,"morethan30","morethan30","2to4","6years","31to35","No","No","External","morethan5","nochange","3to4","Collision"
"Yes",3,"Sunday","Pontiac","Urban","Monday","May",3,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",3676,16,400,4,"morethan30","morethan30","2to4","6years","31to35","No","No","External","none","4to8years","2vehicles","Collision"
"Yes",3,"Sunday","Saab","Urban","Wednesday","May",4,"Male","Married","PolicyHolder","Sedan","30_000 to 39_000",3684,4,400,1,"morethan30","morethan30","none","7years","41to50","No","No","External","none","nochange","1vehicle","AllPerils"
"No",2,"Wednesday","Mazda","Urban","Friday","Feb",2,"Male","Single","PolicyHolder","Sedan","40_000 to 59_000",3685,4,400,2,"morethan30","morethan30","2to4","7years","31to35","Yes","No","External","1to2","nochange","1vehicle","AllPerils"
"No",2,"Thursday","Saab","Urban","Friday","Feb",2,"Male","Married","ThirdParty","Sedan","30_000 to 39_000",3690,10,700,3,"morethan30","morethan30","none","7years","31to35","No","No","External","morethan5","nochange","1vehicle","Collision"
"Yes",3,"Sunday","Pontiac","Urban","Friday","Jun",1,"Male","Single","PolicyHolder","Sedan","20_000 to 29_000",3694,3,400,2,"morethan30","morethan30","none","6years","26to30","No","No","External","1to2","nochange","1vehicle","AllPerils"
"No",5,"Saturday","Pontiac","Urban","Tuesday","Mar",2,"Male","Married","PolicyHolder","Sedan","30_000 to 39_000",3703,7,400,2,"morethan30","morethan30","none","7years","36to40","No","No","External","1to2","nochange","1vehicle","Collision"
"No",4,"Friday","Honda","Urban","Monday","Jan",4,"Female","Single","ThirdParty","Sedan","less than 20_000",3704,10,400,1,"morethan30","morethan30","2to4","7years","31to35","No","No","External","3to5","nochange","1vehicle","AllPerils"
"Yes",3,"Monday","Chevrolet","Urban","Tuesday","May",4,"Male","Single","PolicyHolder","Sedan","20_000 to 29_000",3725,14,400,3,"morethan30","morethan30","none","6years","31to35","No","No","External","none","nochange","1vehicle","AllPerils"
"Yes",3,"Monday","Pontiac","Urban","Tuesday","May",3,"Male","Single","PolicyHolder","Sedan","less than 20_000",3726,8,400,4,"morethan30","morethan30","1","morethan7","over65","No","No","External","3to5","nochange","1vehicle","AllPerils"
"Yes",3,"Monday","Honda","Urban","Wednesday","May",3,"Male","Married","PolicyHolder","Sedan","30_000 to 39_000",3741,10,400,1,"morethan30","morethan30","2to4","morethan7","36to40","No","No","External","morethan5","nochange","1vehicle","Collision"
"No",3,"Friday","Chevrolet","Urban","Monday","Nov",4,"Female","Single","PolicyHolder","Sport","more than 69_000",3744,8,400,2,"morethan30","morethan30","2to4","7years","36to40","No","No","External","morethan5","nochange","1vehicle","Liability"
"No",2,"Thursday","Toyota","Urban","Thursday","Nov",2,"Male","Single","PolicyHolder","Sport","30_000 to 39_000",3745,4,400,2,"morethan30","morethan30","2to4","4years","26to30","No","No","External","morethan5","nochange","1vehicle","Liability"
"No",1,"Monday","Mazda","Urban","Monday","May",4,"Male","Married","PolicyHolder","Sport","20_000 to 29_000",3761,14,400,2,"morethan30","morethan30","2to4","6years","36to40","No","No","External","morethan5","nochange","1vehicle","Liability"
"No",1,"Tuesday","Toyota","Urban","Wednesday","Apr",1,"Female","Married","PolicyHolder","Sport","20_000 to 29_000",3771,15,400,4,"morethan30","morethan30","morethan4","7years","31to35","No","No","External","morethan5","nochange","1vehicle","Liability"
"Yes",3,"Wednesday","Honda","Urban","Tuesday","Jun",5,"Male","Married","PolicyHolder","Sedan","40_000 to 59_000",3773,10,400,1,"morethan30","morethan30","2to4","morethan7","36to40","No","No","External","3to5","nochange","3to4","Collision"
"Yes",3,"Wednesday","Toyota","Urban","Friday","May",3,"Male","Married","PolicyHolder","Sedan","more than 69_000",3778,14,400,4,"morethan30","morethan30","1","morethan7","41to50","No","No","External","morethan5","nochange","1vehicle","Collision"
"Yes",3,"Wednesday","Mazda","Rural","Tuesday","Oct",1,"Male","Married","PolicyHolder","Sedan","30_000 to 39_000",3786,4,400,2,"morethan30","morethan30","1","morethan7","over65","No","No","External","morethan5","nochange","1vehicle","AllPerils"
"No",1,"Wednesday","Pontiac","Urban","Thursday","May",2,"Male","Married","PolicyHolder","Sedan","30_000 to 39_000",3789,8,400,3,"morethan30","morethan30","1","morethan7","41to50","No","No","External","1to2","nochange","1vehicle","Collision"
"No",1,"Thursday","Chevrolet","Rural","Thursday","Jun",1,"Male","Single","PolicyHolder","Sport","20_000 to 29_000",3791,5,400,3,"morethan30","morethan30","2to4","6years","31to35","No","No","External","3to5","nochange","1vehicle","Liability"
"Yes",5,"Monday","Ford","Urban","Tuesday","Apr",1,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",2388,16,700,2,"morethan30","morethan30","none","morethan7","41to50","No","No","External","3to5","nochange","1vehicle","AllPerils"
"Yes",5,"Tuesday","Toyota","Urban","Tuesday","Apr",1,"Male","Married","PolicyHolder","Sedan","less than 20_000",2389,2,400,2,"morethan30","morethan30","none","morethan7","51to65","No","No","External","morethan5","nochange","1vehicle","AllPerils"
"No",3,"Sunday","Toyota","Urban","Tuesday","Mar",5,"Male","Married","ThirdParty","Sedan","20_000 to 29_000",2403,10,400,4,"morethan30","morethan30","2to4","7years","31to35","No","No","External","none","nochange","1vehicle","AllPerils"
"Yes",5,"Tuesday","Pontiac","Urban","Wednesday","Apr",3,"Female","Married","PolicyHolder","Sedan","20_000 to 29_000",2424,15,400,4,"morethan30","morethan30","1","6years","31to35","No","No","External","1to2","nochange","1vehicle","AllPerils"
"Yes",5,"Wednesday","Chevrolet","Urban","Monday","Apr",2,"Male","Married","PolicyHolder","Sport","more than 69_000",2434,15,400,1,"morethan30","morethan30","2to4","morethan7","41to50","No","No","External","1to2","nochange","1vehicle","Liability"
"Yes",5,"Wednesday","Toyota","Rural","Friday","May",1,"Male","Single","PolicyHolder","Sedan","20_000 to 29_000",2437,5,400,2,"morethan30","morethan30","1","6years","31to35","No","No","External","1to2","4to8years","2vehicles","AllPerils"
"No",2,"Wednesday","Mazda","Urban","Tuesday","Nov",4,"Male","Single","PolicyHolder","Sport","30_000 to 39_000",2438,7,400,1,"morethan30","morethan30","2to4","6years","31to35","No","No","External","morethan5","nochange","1vehicle","Liability"
"No",3,"Tuesday","Toyota","Urban","Wednesday","Mar",3,"Male","Married","PolicyHolder","Sedan","more than 69_000",2457,10,400,1,"morethan30","morethan30","1","morethan7","41to50","No","No","External","3to5","nochange","1vehicle","AllPerils"
"Yes",5,"Thursday","Honda","Rural","Monday","Apr",1,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",2459,10,400,2,"none","8to15","2to4","6years","31to35","No","No","External","none","nochange","1vehicle","Collision"
"Yes",5,"Thursday","Toyota","Urban","Thursday","Apr",4,"Male","Married","PolicyHolder","Sedan","30_000 to 39_000",2469,15,400,4,"morethan30","morethan30","morethan4","morethan7","51to65","No","No","External","none","nochange","1vehicle","AllPerils"
"No",3,"Wednesday","Pontiac","Urban","Monday","Mar",4,"Male","Married","ThirdParty","Sedan","20_000 to 29_000",2474,7,400,1,"morethan30","morethan30","none","morethan7","41to50","No","No","External","morethan5","nochange","1vehicle","AllPerils"
"Yes",1,"Friday","Pontiac","Rural","Wednesday","Dec",3,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",2485,6,400,4,"morethan30","morethan30","none","7years","31to35","No","No","External","none","nochange","1vehicle","AllPerils"
"No",1,"Thursday","Pontiac","Urban","Friday","Sep",1,"Male","Married","ThirdParty","Sedan","20_000 to 29_000",2487,15,400,3,"morethan30","morethan30","none","5years","31to35","No","No","External","none","nochange","1vehicle","AllPerils"
"Yes",1,"Friday","Pontiac","Urban","Friday","Apr",2,"Male","Married","PolicyHolder","Sedan","30_000 to 39_000",2501,2,400,1,"morethan30","morethan30","2to4","morethan7","41to50","No","No","External","none","nochange","1vehicle","AllPerils"
"No",1,"Saturday","Mazda","Urban","Tuesday","Aug",2,"Male","Single","PolicyHolder","Sedan","20_000 to 29_000",2506,9,400,1,"morethan30","morethan30","1","6years","26to30","No","No","External","morethan5","nochange","1vehicle","Collision"
"No",1,"Saturday","Accura","Urban","Tuesday","Apr",2,"Male","Married","ThirdParty","Sedan","30_000 to 39_000",2520,7,400,3,"morethan30","morethan30","1","6years","31to35","No","No","External","none","nochange","1vehicle","AllPerils"
"No",2,"Saturday","Honda","Urban","Monday","Sep",2,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",2564,13,400,3,"morethan30","morethan30","2to4","morethan7","41to50","No","No","External","none","nochange","1vehicle","AllPerils"
"No",3,"Wednesday","Chevrolet","Urban","Friday","Aug",3,"Female","Single","PolicyHolder","Sedan","20_000 to 29_000",2576,1,400,4,"morethan30","morethan30","1","4years","31to35","No","No","External","none","nochange","1vehicle","Collision"
"Yes",1,"Monday","Ford","Urban","Tuesday","Apr",1,"Male","Single","PolicyHolder","Sedan","20_000 to 29_000",2586,7,400,1,"morethan30","morethan30","1","6years","31to35","No","No","External","morethan5","nochange","1vehicle","Collision"
"No",3,"Friday","Mazda","Urban","Friday","Jun",1,"Male","Married","ThirdParty","Sport","20_000 to 29_000",2587,14,400,4,"morethan30","morethan30","2to4","7years","36to40","No","No","External","1to2","nochange","1vehicle","Liability"
"Yes",1,"Monday","Pontiac","Urban","Friday","Apr",4,"Male","Married","PolicyHolder","Sedan","less than 20_000",2590,16,400,3,"morethan30","morethan30","1","6years","31to35","No","No","External","none","nochange","1vehicle","AllPerils"
"No",4,"Thursday","Mazda","Urban","Thursday","Mar",4,"Male","Married","PolicyHolder","Sport","20_000 to 29_000",2612,4,400,3,"morethan30","morethan30","2to4","7years","41to50","No","No","External","none","nochange","1vehicle","Liability"
"Yes",1,"Tuesday","Toyota","Urban","Friday","Apr",2,"Male","Married","PolicyHolder","Sedan","30_000 to 39_000",2628,12,400,4,"morethan30","morethan30","1","morethan7","41to50","No","No","External","none","nochange","1vehicle","AllPerils"
"No",1,"Thursday","Toyota","Urban","Friday","Aug",1,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",2635,15,400,2,"morethan30","morethan30","none","6years","51to65","No","No","External","none","nochange","1vehicle","AllPerils"
"Yes",1,"Wednesday","Honda","Urban","Tuesday","Apr",2,"Male","Single","PolicyHolder","Sedan","more than 69_000",2642,2,400,3,"morethan30","morethan30","none","new","16to17","No","No","External","none","nochange","1vehicle","AllPerils"
"Yes",1,"Wednesday","Pontiac","Urban","Friday","Jun",1,"Male","Single","PolicyHolder","Sedan","20_000 to 29_000",2646,4,400,2,"morethan30","morethan30","2to4","5years","31to35","No","No","External","1to2","nochange","1vehicle","AllPerils"
"No",1,"Thursday","Pontiac","Urban","Friday","Nov",1,"Male","Married","ThirdParty","Sedan","less than 20_000",2661,7,400,2,"morethan30","morethan30","none","7years","51to65","No","No","External","3to5","nochange","1vehicle","AllPerils"
"No",1,"Tuesday","Honda","Urban","Wednesday","Nov",3,"Male","Single","ThirdParty","Sedan","20_000 to 29_000",2666,14,400,4,"morethan30","morethan30","2to4","6years","31to35","No","No","External","none","nochange","3to4","AllPerils"
"No",3,"Monday","Toyota","Urban","Thursday","Sep",4,"Female","Married","PolicyHolder","Sport","20_000 to 29_000",2675,5,400,1,"morethan30","morethan30","none","6years","31to35","No","No","External","morethan5","nochange","1vehicle","Liability"
"Yes",2,"Friday","Ford","Rural","Thursday","Apr",3,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",2678,4,400,2,"morethan30","morethan30","none","6years","31to35","No","No","External","none","nochange","1vehicle","AllPerils"
"No",3,"Tuesday","Honda","Urban","Friday","Jun",2,"Male","Single","PolicyHolder","Sport","more than 69_000",2696,10,400,1,"morethan30","morethan30","1","new","16to17","No","No","External","none","nochange","1vehicle","Liability"
"Yes",2,"Sunday","Pontiac","Urban","Monday","Apr",2,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",2708,10,400,2,"morethan30","morethan30","none","7years","36to40","No","No","External","none","nochange","1vehicle","Collision"
"No",1,"Saturday","Honda","Urban","Thursday","Jul",1,"Female","Married","PolicyHolder","Sedan","20_000 to 29_000",2747,6,400,4,"morethan30","morethan30","2to4","4years","31to35","No","No","External","1to2","nochange","1vehicle","Collision"
"No",5,"Monday","Pontiac","Urban","Monday","May",5,"Male","Married","PolicyHolder","Sport","20_000 to 29_000",2755,13,500,4,"morethan30","morethan30","morethan4","morethan7","36to40","No","No","External","3to5","2to3years","1vehicle","Liability"
"Yes",2,"Monday","Chevrolet","Urban","Tuesday","Apr",2,"Female","Divorced","PolicyHolder","Sedan","20_000 to 29_000",2757,12,400,2,"morethan30","morethan30","none","7years","36to40","No","No","External","morethan5","nochange","1vehicle","AllPerils"
"No",4,"Monday","Chevrolet","Urban","Thursday","Dec",1,"Male","Married","PolicyHolder","Sedan","30_000 to 39_000",2780,9,400,4,"morethan30","morethan30","2to4","7years","36to40","No","No","External","1to2","nochange","1vehicle","Collision"
"Yes",4,"Thursday","Chevrolet","Urban","Friday","Jul",1,"Male","Married","PolicyHolder","Sedan","30_000 to 39_000",3033,10,400,1,"morethan30","morethan30","morethan4","7years","31to35","No","No","External","none","nochange","1vehicle","AllPerils"
"Yes",4,"Friday","Honda","Urban","Tuesday","Apr",4,"Male","Single","PolicyHolder","Sedan","more than 69_000",3042,9,400,4,"morethan30","morethan30","2to4","new","16to17","No","No","External","none","nochange","1vehicle","AllPerils"
"Yes",4,"Friday","Honda","Urban","Tuesday","Apr",4,"Male","Single","PolicyHolder","Sedan","more than 69_000",3045,2,400,2,"morethan30","morethan30","none","new","16to17","No","No","External","none","nochange","1vehicle","AllPerils"
"No",2,"Saturday","Pontiac","Urban","Monday","Sep",2,"Male","Married","PolicyHolder","Sport","30_000 to 39_000",3052,12,400,2,"morethan30","morethan30","none","7years","36to40","No","No","External","morethan5","nochange","1vehicle","Liability"
"Yes",4,"Friday","Pontiac","Urban","Friday","Jun",3,"Male","Single","PolicyHolder","Sedan","20_000 to 29_000",3054,6,400,4,"morethan30","morethan30","none","3years","26to30","No","No","External","none","nochange","1vehicle","AllPerils"
"No",4,"Saturday","Chevrolet","Urban","Wednesday","Apr",4,"Male","Married","PolicyHolder","Sedan","30_000 to 39_000",3067,3,400,1,"morethan30","morethan30","morethan4","7years","36to40","No","No","External","morethan5","4to8years","2vehicles","Collision"
"No",3,"Tuesday","Mazda","Urban","Tuesday","May",1,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",3068,8,400,2,"morethan30","morethan30","1","6years","41to50","Yes","No","External","none","nochange","1vehicle","Collision"
"No",2,"Tuesday","Pontiac","Urban","Tuesday","Dec",3,"Female","Single","ThirdParty","Sedan","20_000 to 29_000",3072,13,400,3,"morethan30","morethan30","2to4","7years","31to35","No","No","External","morethan5","nochange","1vehicle","Collision"
"Yes",4,"Saturday","Toyota","Urban","Friday","May",1,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",3079,2,400,2,"morethan30","morethan30","1","7years","31to35","No","No","External","morethan5","nochange","1vehicle","Collision"
"Yes",4,"Saturday","Toyota","Rural","Tuesday","Apr",4,"Female","Single","PolicyHolder","Sedan","20_000 to 29_000",3088,7,400,1,"morethan30","morethan30","1","6years","31to35","No","No","External","3to5","4to8years","2vehicles","AllPerils"
"No",3,"Tuesday","Toyota","Urban","Wednesday","Apr",3,"Male","Married","PolicyHolder","Sport","20_000 to 29_000",3090,4,400,1,"morethan30","morethan30","2to4","7years","51to65","No","No","External","none","nochange","1vehicle","Liability"
"Yes",4,"Sunday","Pontiac","Urban","Tuesday","May",1,"Female","Married","PolicyHolder","Sedan","20_000 to 29_000",3096,9,400,1,"morethan30","morethan30","2to4","7years","31to35","No","No","External","morethan5","nochange","1vehicle","Collision"
"Yes",4,"Sunday","Pontiac","Urban","Tuesday","May",1,"Male","Single","PolicyHolder","Sedan","20_000 to 29_000",3098,16,400,1,"morethan30","morethan30","none","5years","31to35","No","No","External","none","nochange","1vehicle","Collision"
